base_name,variation
customer_id,custid
customer_id,CustomerID
customer_id,cust_id
customer_id,customer-id
customer_id,CustID
customer_id,customer_id
customer_id,custID
customer_id,Customer_Id
customer_id,customerID
customer_id,cust_id_
customer_id,custi
customer_id,custm_id
customer_id,custo_id
customer_id,custome_id
customer_id,customr_id
customer_id,cust
customer_id,cid
customer_id,cust_
customer_id,c_id
customer_id,custid_
customer_id,customers_id
customer_id,customer_ids
customer_id,cust_ids
customer_id,cust_id_list
customer_id,cust-id
customer_id,cust.id
customer_id,cust_id_
customer_id,cust-id_
customer_id,cust.id_
customer_id,user_customer_id
customer_id,client_cust_id
customer_id,cust_id_info
customer_id,cust_id_data
customer_id,CUSTOMER_ID
customer_id,CustomerId
customer_id,customerID
customer_id,Customer_Id
customer_id,customer_id_field
customer_id,cust_id_value
customer_id,customer_id_data
first_name,firstName
first_name,fname
first_name,firstname
first_name,First_Name
first_name,f_name
first_name,first name
first_name,FirstName
first_name,FName
first_name,first_Name
first_name,firstname_
first_name,frstname
first_name,firsname
first_name,firtnam
first_name,firtname
first_name,fistname
first_name,fn
first_name,fname_
first_name,f_n
first_name,f_name_
first_name,firstname_
first_name,first-name
first_name,first.name
first_name,first_name_
first_name,first-name_
first_name,first.name_
first_name,user_first_name
first_name,client_fname
first_name,fname_info
first_name,fname_data
first_name,FIRST_NAME
first_name,FirstName
first_name,firstName
first_name,First_name
first_name,first_name_field
first_name,fname_value
first_name,first_name_data
last_name,lastName
last_name,lname
last_name,lastname
last_name,Last_Name
last_name,l_name
last_name,last name
last_name,LastName
last_name,LName
last_name,last_Name
last_name,lastname_
last_name,lasname
last_name,lstname
last_name,latsname
last_name,lastnme
last_name,latname
last_name,ln
last_name,lname_
last_name,l_n
last_name,l_name_
last_name,lastname_
last_name,last-name
last_name,last.name
last_name,last_name_
last_name,last-name_
last_name,last.name_
last_name,user_last_name
last_name,client_lname
last_name,lname_info
last_name,lname_data
last_name,LAST_NAME
last_name,LastName
last_name,lastName
last_name,Last_name
last_name,last_name_field
last_name,lname_value
last_name,last_name_data
email,email_addr
email,email_address
email,Email
email,e-mail
email,emailAddress
email,email_id
email,emailID
email,email-id
email,email_
email,email address
email,emial
email,eail
email,emaill
email,emai
email,e-mailaddress
email,em
email,e_addr
email,e_mail
email,email_
email,e_address
email,emails
email,email_list
email,email_addresses
email,email_addrs
email,email-address
email,email.address
email,email_address_
email,email-address_
email,email.address_
email,user_email
email,client_email
email,email_info
email,email_data
email,email-address
email,email.address
email,email_address_
email,email-address_
email,email.address_
email,EMAIL
email,EmailAddr
email,emailAddress
email,Email_Address
email,email_field
email,email_value
email,email_data
phone_number,phone
phone_number,PhoneNum
phone_number,phone_no
phone_number,phone-number
phone_number,Phone_Number
phone_number,phonenumber
phone_number,phone_num
phone_number,PhoneNo
phone_number,phoneNumber
phone_number,phone number
phone_number,phne
phone_number,phoneno
phone_number,phonenumber_
phone_number,phne_number
phone_number,fone_number
phone_number,pn
phone_number,ph_num
phone_number,phone_
phone_number,p_no
phone_number,ph_no
phone_number,phone_numbers
phone_number,phones_number
phone_number,phone_num_list
phone_number,phone_nos
phone_number,phone-number
phone_number,phone.number
phone_number,phone_number_
phone_number,phone-number_
phone_number,phone.number_
phone_number,user_phone_number
phone_number,client_phone
phone_number,phone_info
phone_number,phone_data
phone_number,PHONE_NUMBER
phone_number,PhoneNumber
phone_number,phoneNumber
phone_number,Phone_Number
phone_number,phone_number_field
phone_number,phone_value
phone_number,phone_data
address,addr
address,Address
address,location
address,street_address
address,street-address
address,StreetAddress
address,addr_
address,address_
address,AddressLine
address,address line
address,addrss
address,adres
address,addres
address,adress
address,addr_
address,addr
address,addres
address,adress
address,Addr
address,ADDRESS
address,Address_
address,address_line
address,street_address
address,street_addr
address,st_addr
address,addr_line
address,addr_line1
address,addr_line_1
address,addressline
address,address_line1
address,address-line
address,addressLine
address,addrss
address,adres
address,addrs
address,addr_
address,address_info
address,address_data
address,user_address
address,client_address
address,address_field
address,address_value
city,CityName
city,city_name
city,town
city,City
city,city_
city,city name
city,City_Name
city,cityName
city,town_name
city,cityname
city,cty
city,sity
city,citie
city,citi
city,city_
city,City
city,CITY
city,city_
city,City_
city,cityname
city,city_name
city,cityName
city,CityName
city,town
city,Town
city,TOWN
city,city_town
city,city_township
city,city_location
city,city_loc
city,city_loc_
city,city_area
city,city_region
city,city_zone
city,city_district
city,city_division
city,city_info
city,city_data
city,user_city
city,client_city
city,city_field
city,city_value
state,StateName
state,state_name
state,province
state,State
state,state_
state,state name
state,State_Name
state,stateName
state,province_name
state,statename
state,stte
state,ste
state,stat
state,stae
state,state_
state,State
state,STATE
state,state_
state,State_
state,statename
state,state_name
state,stateName
state,StateName
state,province
state,Province
state,PROVINCE
state,state_province
state,state_prov
state,state_prov_
state,state_region
state,state_area
state,state_zone
state,state_division
state,state_info
state,state_data
state,user_state
state,client_state
state,state_field
state,state_value
zip_code,zip
zip_code,ZipCode
zip_code,postal_code
zip_code,postal-code
zip_code,PostalCode
zip_code,zipcode
zip_code,zip_code_
zip_code,Zip
zip_code,postalcode
zip_code,zip code
zip_code,zcode
zip_code,zipcod
zip_code,zp_code
zip_code,zipcode_
zip_code,zip_
zip_code,ZipCode
zip_code,ZIPCODE
zip_code,zip_code_
zip_code,Zip_Code
zip_code,zipcode
zip_code,zipCode
zip_code,zip_code-
zip_code,zip-code
zip_code,zip code
zip_code,postal_code
zip_code,PostalCode
zip_code,postal_code_
zip_code,Postal_Code
zip_code,postalcode
zip_code,post_code
zip_code,PostCode
zip_code,post_code_
zip_code,Post_Code
zip_code,zip_
zip_code,zip__
zip_code,zip_info
zip_code,zip_data
zip_code,user_zip
zip_code,client_zip
zip_code,zip_field
zip_code,zip_value
country,CountryName
country,country_name
country,nation
country,Country
country,country_
country,country name
country,Country_Name
country,countryName
country,nation_name
country,countryname
country,cntry
country,countrey
country,contry
country,countrie
country,country_
country,Country
country,COUNTRY
country,country_
country,Country_
country,countryname
country,country_name
country,countryName
country,CountryName
country,nation
country,Nation
country,NATION
country,country_nation
country,country_nat
country,country_nat_
country,country_region
country,country_area
country,country_zone
country,country_division
country,country_info
country,country_data
country,user_country
country,client_country
country,country_field
country,country_value
